"","mz","intensity"
"523",231.12026343906,17018.771484375
"524",231.125573671532,10212.353515625
"525",231.130884087018,4569.130859375
"526",231.136185315256,0
"527",231.141496096794,0
"528",231.146807061371,0
"529",231.152118208995,0
"530",233.129878247341,0
"531",233.135257890088,0
"532",233.140637719046,0
"533",233.146017734222,0
"534",233.151397935625,6194.8818359375
"535",233.156778323264,16334.0322265625
"536",233.162158897147,27648.28125
"537",233.167539657284,31337.5546875
"538",233.172920603682,24059.662109375
"539",233.17830173635,12195.9189453125
"540",233.183683055298,4796.0302734375
"541",233.189032881711,0
"542",233.194414573242,0
"543",233.199796451077,0
"544",233.205178515226,0
"545",240.058803804114,0
"546",240.064425056638,0
"547",240.070046506605,0
"548",240.075668154024,0
"549",240.081289998906,0
"550",240.086912041259,8239.6220703125
"551",240.092534281093,27576.306640625
"552",240.098156718416,40745.4296875
"553",240.103779353239,36900.67578125
"554",240.109402185569,20467.47265625
"555",240.115025215417,5176.89453125
"556",240.120847452806,0
"557",240.126470877717,0
"558",240.132094500173,0
"559",240.137718320183,0
"560",243.100541467675,0
"561",243.106269889685,0
"562",243.111998514174,0
"563",243.117727341151,0
"564",243.123456370625,7237.345703125
"565",243.129185602607,24801.921875
"566",243.134915037105,35544.04296875
"567",243.140644674129,31363.13671875
"568",243.146374513688,16962.9765625
"569",243.152104555794,4805.9140625
"570",243.157831261137,0
"571",243.163561708361,0
"572",243.169292358159,0
"573",243.175023210541,0
"574",244.054236085716,0
"575",244.059998250256,0
"576",244.065760618866,0
"577",244.071523191557,0
"578",244.077285968336,2416.94750976562
"579",244.083048949215,13105.7158203125
"580",244.088812134203,27232.072265625
"581",244.094575523309,33582.734375
"582",244.100339116543,26413.09765625
"583",244.106102913915,11936.7392578125
"584",244.111866915434,1235.29809570312
"585",244.117616170065,0
"586",244.123380579908,0
"587",244.129145193927,0
"588",244.134910012132,0
"589",248.10277632672,0
"590",248.10868246524,0
"591",248.114588814658,0
"592",248.120495374982,0
"593",248.126402146223,1796.43139648438
"594",248.132309128392,10224.44140625
"595",248.138216321498,17236.123046875
"596",248.144123725551,18178.87890625
"597",248.150031340561,13429.3115234375
"598",248.155939166538,8028.45703125
"599",248.161847203493,4974.2978515625
"600",248.167740794805,0
"601",248.173649253744,0
"602",248.179557923691,0
"603",248.185466804656,0
"604",252.065303816007,0
"605",252.071352012025,0
"606",252.07740042573,0
"607",252.083449057133,0
"608",252.089497906244,6114.728515625
"609",252.095546973074,15370.5087890625
"610",252.101596257633,34001.23828125
"611",252.107645759932,50303.5859375
"612",252.113695479982,48868.234375
"613",252.119745417792,29086.14453125
"614",252.125795573373,6653.740234375
"615",252.132049759812,0
"616",252.138100350966,0
"617",252.144151159923,0
"618",252.150202186693,0
"619",258.061229545846,0
"620",258.067494817637,0
"621",258.073760317594,0
"622",258.080026045729,0
"623",258.086292002053,923.848876953125
"624",258.092558186577,7346.89453125
"625",258.098824599312,25432.302734375
"626",258.105091240269,44979.7109375
"627",258.11135810946,50383.7421875
"628",258.117625206894,36992.140625
"629",258.123892532584,16254.4482421875
"630",258.130160086541,2214.58032226562
"631",258.136618799798,0
"632",258.142886810321,0
"633",258.149155049143,0
"634",258.155423516276,0
"635",276.089360906547,0
"636",276.096294046615,0
"637",276.103227447843,0
"638",276.110161110243,0
"639",276.11709503383,3797.75561523438
"640",276.124029218615,16418.27734375
"641",276.130963664612,27830.591796875
"642",276.137898371835,30017.296875
"643",276.144833340296,21464.587890625
"644",276.151768570008,8856.2275390625
"645",276.158704060985,0
"646",276.165626273498,0
"647",276.172562287044,0
"648",276.179498561893,0
"649",276.18643509806,0
"650",283.054365839447,0
"651",283.061562986127,0
"652",283.06876040731,0
"653",283.075958103009,0
"654",283.083156073239,5964.1767578125
"655",283.090354318014,28614.125
"656",283.097552837348,57383.09765625
"657",283.104751631254,71763.6640625
"658",283.111950699746,60296.9140625
"659",283.119150042839,33266.3359375
"660",283.126349660547,10744.4462890625
"661",283.133549552883,2415.10424804688
"662",283.140747809195,0
"663",283.147948250829,0
"664",283.155148967134,0
"665",283.162349958124,0
"666",284.035701548792,0
"667",284.042936156363,0
"668",284.050171040344,0
"669",284.057406200747,0
"670",284.064641637589,0
"671",284.071877350882,10957.0244140625
"672",284.079113340641,32855.8125
"673",284.08634960688,48369.34375
"674",284.093586149613,44819.1484375
"675",284.100822968853,25358.5546875
"676",284.108060064616,6548.376953125
"677",284.115285772508,0
"678",284.122523421357,0
"679",284.129761346771,0
"680",284.136999548763,0
"681",290.047258563229,0
"682",290.054724061749,0
"683",290.062189848502,0
"684",290.069655923505,0
"685",290.07712228677,4042.44750976562
"686",290.084588938314,7559.73046875
"687",290.092055878151,10176.0595703125
"688",290.099523106296,8269.9931640625
"689",290.106990622763,2305.10180664062
"690",290.114702653148,0
"691",290.122170746305,0
"692",290.12963912783,0
"693",290.137107797738,0
"694",299.123958557182,0
"695",299.131777211677,0
"696",299.139596172727,0
"697",299.147415440349,0
"698",299.155235014558,0
"699",299.163054895371,7830.439453125
"700",299.170875082804,15250.9052734375
"701",299.178695576872,13190.0947265625
"702",299.186516377593,2265.65356445312
"703",299.194337445603,4712.2744140625
"704",299.202158859675,16879.984375
"705",299.209980580447,21764.857421875
"706",299.217802607935,16831.71875
"707",299.225624942154,6341.14453125
"708",299.233446574296,0
"709",299.241269522027,0
"710",299.249092776539,0
"711",299.256916337847,0
"712",300.111527327619,0
"713",300.119384734666,0
"714",300.127242450296,0
"715",300.135100474526,0
"716",300.142958807372,7194.7060546875
"717",300.150817448849,12587.876953125
"718",300.158676398974,12772.8291015625
"719",300.166535657762,8040.3916015625
"720",300.174395225231,2594.44604492188
"721",300.182254076039,0
"722",300.190114260917,0
"723",300.197974754523,0
"724",300.205835556875,0
"725",301.056622978522,0
"726",301.064517531221,0
"727",301.07241239445,0
"728",301.080307568226,0
"729",301.088203052563,3543.14819335938
"730",301.096098847479,15730.4951171875
"731",301.103994952991,41005.2109375
"732",301.111891369113,62742.5390625
"733",301.119788095863,62054.75
"734",301.127685133257,38927.3984375
"735",301.135582481311,12512.7802734375
"736",301.143480140042,0
"737",301.151637214435,0
"738",301.159535494568,0
"739",301.167434085425,0
"740",301.175332987024,0
"741",324.079047150304,0
"742",324.087864365114,0
"743",324.096681939764,0
"744",324.105499874274,0
"745",324.114318168662,2377.12670898438
"746",324.123136822948,9554.5322265625
"747",324.131955837152,14283.0205078125
"748",324.140775211294,13531.3486328125
"749",324.149594945392,8619.748046875
"750",324.158415039467,3796.54223632812
"751",324.167234713498,0
"752",324.176055527585,0
"753",324.184876701708,0
"754",324.193698235886,0
"755",328.137335870029,0
"756",328.146319224093,0
"757",328.155302947066,0
"758",328.164287038968,0
"759",328.173271499818,5763.330078125
"760",328.182256329637,19790.234375
"761",328.191241528445,26238.189453125
"762",328.200227096263,21501.15234375
"763",328.20921303311,11802.5732421875
"764",328.218199339007,5391.1396484375
"765",328.22718429708,0
"766",328.236171341137,0
"767",328.245158754304,0
"768",328.254146536602,0
"769",337.065082139599,0
"770",337.074434598526,0
"771",337.083787446709,0
"772",337.09314068417,0
"773",337.102494310929,4201.154296875
"774",337.111848327009,9231.4384765625
"775",337.121202732431,11385.46875
"776",337.130557527217,9026.29296875
"777",337.139912711388,4810.884765625
"778",337.149566717491,0
"779",337.158922680498,0
"780",337.168279032955,0
"781",337.177635774883,0
"782",342.096413558613,0
"783",342.105976190538,0
"784",342.115539223426,0
"785",342.125102657299,0
"786",342.13466649218,1927.89428710938
"787",342.144230728091,9008.6357421875
"788",342.153795365053,11936.0615234375
"789",342.163360403091,8910.5751953125
"790",342.172925842226,3143.34594726562
"791",342.182492372037,0
"792",342.192058613433,0
"793",342.201625255994,0
"794",342.211192299742,0
"795",343.093079613702,0
"796",343.102684066092,0
"797",343.112288921784,0
"798",343.121894180801,0
"799",343.131499843166,0
"800",343.141105908902,9490.62109375
"801",343.150712378029,26268.26171875
"802",343.160319250573,38530.3671875
"803",343.169926526554,36330.26953125
